curveIndex,static,x,y
3,0.0000,742.000,265.500
3,0.0000,742.500,265.500
3,0.0000,744.500,265.000
3,0.0000,745.000,264.500
3,0.0000,746.000,264.000
3,0.0000,747.500,263.500
3,0.0000,748.000,262.000
3,0.0000,748.500,262.000
3,0.0000,750.000,261.500
3,0.0000,752.000,260.500
3,0.0000,752.500,260.000
3,0.0000,753.000,259.500
3,0.0000,753.500,259.500
3,0.0000,754.000,259.500
3,0.0000,754.500,259.500
3,0.0000,755.000,259.500
3,0.0000,756.000,259.000
3,0.0000,757.000,259.000
